system,seed,ndcg@10,recall@10,coverage,recall_ceiling@50,recall_ceiling@100,recall_ceiling@200,recall_ceiling@500,ndcg_diff_vs_retrieval,ndcg_diff_ci_low,ndcg_diff_ci_high
retrieval_only,42,0.153760,0.197538,0.166598,0.425678,0.557416,0.686847,0.830325,,,
two_stage,42,0.178570,0.223627,0.117218,0.425678,0.557416,0.686847,0.830325,0.024810,0.024225,0.025426
two_stage_no_ease,42,0.161004,0.205001,0.125774,0.425678,0.557416,0.686847,0.830325,0.007244,0.006796,0.007666
two_stage_with_time,42,0.183058,0.228393,0.114816,0.425678,0.557416,0.686847,0.830325,0.029298,0.028669,0.029936
retrieval_only,43,0.152908,0.196075,0.166657,0.424219,0.556323,0.686329,0.830162,,,
two_stage,43,0.178162,0.222777,0.118488,0.424219,0.556323,0.686329,0.830162,0.025254,0.024573,0.025904
two_stage_no_ease,43,0.159910,0.203808,0.130950,0.424219,0.556323,0.686329,0.830162,0.007001,0.006572,0.007462
two_stage_with_time,43,0.182309,0.227317,0.114894,0.424219,0.556323,0.686329,0.830162,0.029401,0.028754,0.030078
retrieval_only,44,0.153118,0.196268,0.167341,0.425624,0.557207,0.686691,0.830977,,,
two_stage,44,0.178400,0.222868,0.115851,0.425624,0.557207,0.686691,0.830977,0.025283,0.024630,0.025912
two_stage_no_ease,44,0.160477,0.204128,0.131380,0.425624,0.557207,0.686691,0.830977,0.007359,0.006885,0.007799
two_stage_with_time,44,0.182901,0.227777,0.114269,0.425624,0.557207,0.686691,0.830977,0.029783,0.029118,0.030415
