scheme,stat,value
all,movies_only_in_val_or_test,7852
all,movies_rated,59047
all,movies_total,62423
all,movies_with_genome,13816
all,movies_with_train_rating,51195
all,ratings_total,25000095
global,fingerprint,12499782237902479
global,rows_test,2500010
global,rows_train,20000076
global,rows_val,2500009
global,t80_timestamp,1466837397
global,t90_timestamp,1515033900
global,users_eligible,137682
global,users_eligible_with_test_positive,3992
global,users_eligible_with_val_positive,5138
global,users_excluded_no_train_positive,24859
global,users_total,162541
random,fingerprint,12499094690600587
random,rows_test,2500330
random,rows_train,20000340
random,rows_val,2499425
random,users_eligible,162277
random,users_eligible_with_test_positive,148766
random,users_eligible_with_val_positive,149003
random,users_excluded_no_train_positive,264
random,users_total,162541
user,fingerprint,12499474913361447
user,rows_test,2573618
user,rows_train,19936012
user,rows_train_core,17379974
user,rows_train_tail,2556038
user,rows_val,2490465
user,test_span_le_1h_share,0.706523
user,test_span_le_24h_share,0.744944
user,test_span_median_hours,0.073611
user,users_eligible,162205
user,users_eligible_with_test_positive,153995
user,users_eligible_with_val_positive,151597
user,users_excluded_no_train_positive,336
user,users_lt10_train_only,0
user,users_total,162541
user,users_train_val_cut_within_1h_share,0.961296
user,users_train_val_cut_within_same_second,31245
