scheme,stat,value
setup,requests_two_stage,1000
setup,requests_fallback,200
setup,warmup_requests,50
setup,concurrency,1
setup,power_source,AC
setup,cpu,Apple M5
setup,platform,macOS-26.6.2-arm64-arm-64bit
setup,model_load_seconds,3.0
setup,date,2026-09-24
two_stage,share_served_two_stage,1.0
two_stage,client_p50_ms,5.231749964877963
two_stage,client_p90_ms,12.829491461161524
two_stage,client_p99_ms,28.506364726927128
two_stage,client_mean_ms,7.049811881151982
two_stage,client_max_ms,45.60499999206513
two_stage,server_retrieval_p50_ms,1.564
two_stage,server_retrieval_p99_ms,13.873729999999998
two_stage,server_features_p50_ms,1.1105
two_stage,server_features_p99_ms,14.445029999999994
two_stage,server_ranking_p50_ms,1.125
two_stage,server_ranking_p99_ms,7.681539999999998
two_stage,server_total_p50_ms,4.285
two_stage,server_total_p99_ms,24.374449999999996
popularity_fallback,client_p50_ms,0.6661250372417271
popularity_fallback,client_p90_ms,1.0591673431918023
popularity_fallback,client_p99_ms,2.4059871106874042
popularity_fallback,client_mean_ms,0.8386212808545679
popularity_fallback,client_max_ms,8.043333073146641
popularity_fallback,server_total_p50_ms,0.046
popularity_fallback,server_total_p99_ms,0.13802999999999999
