check,value
users_checked,2000
candidates_identical_share,0.978500
candidates_overlap_mean,1.000000
top10_identical_share,1.000000
top10_overlap_mean,1.000000
max_abs_diff:tt_score,6.56e-07
max_abs_diff:tt_rank,0
max_abs_diff:ease_score,1.13e-06
max_abs_diff:ease_rank,1
max_abs_diff:item_log_n,0
max_abs_diff:item_log_pos,0
max_abs_diff:item_mean,0
max_abs_diff:user_log_n,0
max_abs_diff:user_log_pos,0
max_abs_diff:user_mean,0
max_abs_diff:genre_overlap,0
max_abs_diff:genre_max,0
max_abs_diff:genome_sim_all,7.15e-07
max_abs_diff:genome_sim_recent,5.96e-07
max_abs_diff:has_genome,0
torch_loaded,False
