model,trial,config,ndcg@10,recall@10,auc,coverage,n_users,fit_seconds,eval_seconds,source
most_popular,1,{},0.052711,0.065942,0.979021,0.003750,20000,0.000000,1.800000,run
item_knn,1,"{""k"": 25, ""min_pos"": 20, ""shrink"": 0.0}",0.096415,0.125558,0.976017,0.056216,20000,0.800000,3.000000,run
item_knn,2,"{""k"": 50, ""min_pos"": 20, ""shrink"": 0.0}",0.097290,0.125909,0.981538,0.054068,20000,0.800000,3.300000,run
item_knn,3,"{""k"": 100, ""min_pos"": 20, ""shrink"": 0.0}",0.097931,0.125899,0.984456,0.050571,20000,0.900000,3.600000,run
item_knn,4,"{""k"": 200, ""min_pos"": 20, ""shrink"": 0.0}",0.098902,0.125355,0.985873,0.045571,20000,1.200000,4.100000,run
item_knn,5,"{""k"": 400, ""min_pos"": 20, ""shrink"": 0.0}",0.098134,0.124222,0.986339,0.038851,20000,1.800000,5.000000,run
item_knn,6,"{""k"": 200, ""min_pos"": 20, ""shrink"": 1.0}",0.098892,0.125327,0.985883,0.045551,20000,1.300000,4.200000,run
item_knn,7,"{""k"": 200, ""min_pos"": 20, ""shrink"": 10.0}",0.098761,0.125181,0.985965,0.044926,20000,1.200000,4.200000,run
item_knn,8,"{""k"": 200, ""min_pos"": 20, ""shrink"": 100.0}",0.098436,0.124849,0.986074,0.040316,20000,1.200000,4.900000,run
ease,1,"{""lam"": 100.0, ""min_pos"": 20}",0.119362,0.153511,0.972764,0.054244,20000,10.800000,3.800000,run
ease,2,"{""lam"": 250.0, ""min_pos"": 20}",0.120247,0.154506,0.974925,0.050083,20000,11.200000,3.700000,run
ease,3,"{""lam"": 500.0, ""min_pos"": 20}",0.120200,0.154385,0.976751,0.045903,20000,11.100000,3.700000,run
ease,4,"{""lam"": 1000.0, ""min_pos"": 20}",0.120377,0.154871,0.978713,0.041020,20000,11.500000,3.800000,run
ease,5,"{""lam"": 2000.0, ""min_pos"": 20}",0.119667,0.152946,0.980747,0.036742,20000,11.200000,3.700000,run
ease,6,"{""lam"": 4000.0, ""min_pos"": 20}",0.118881,0.151892,0.982660,0.032464,20000,10.900000,3.700000,run
ease,7,"{""lam"": 100.0, ""min_pos"": 10}",0.119476,0.153647,0.969434,0.054244,20000,22.000000,3.900000,run
ease,8,"{""lam"": 250.0, ""min_pos"": 10}",0.120274,0.154607,0.972199,0.050103,20000,21.700000,3.900000,run
ease,9,"{""lam"": 500.0, ""min_pos"": 10}",0.120298,0.154540,0.974521,0.045981,20000,21.500000,3.900000,run
ease,10,"{""lam"": 1000.0, ""min_pos"": 10}",0.120362,0.154849,0.977051,0.041137,20000,21.000000,3.900000,run
ease,11,"{""lam"": 2000.0, ""min_pos"": 10}",0.119697,0.153006,0.979692,0.036703,20000,20.600000,4.100000,run
ease,12,"{""lam"": 4000.0, ""min_pos"": 10}",0.118894,0.151927,0.982156,0.032484,20000,21.300000,3.800000,run
implicit_als,1,"{""alpha"": 10.0, ""rank"": 64, ""reg"": 0.01}",0.104280,0.139370,0.968000,0.038500,20000,51.000000,5.000000,recovered_from_log
implicit_als,2,"{""alpha"": 10.0, ""rank"": 64, ""reg"": 0.1}",0.104210,0.138540,0.972500,0.040600,20000,49.000000,5.000000,recovered_from_log
implicit_als,3,"{""alpha"": 10.0, ""rank"": 64, ""reg"": 1.0}",0.094710,0.124370,0.984800,0.047300,20000,48.000000,5.000000,recovered_from_log
implicit_als,4,"{""alpha"": 10.0, ""rank"": 64, ""reg"": 0.001}",0.103550,0.138100,0.967400,0.038000,20000,48.000000,5.000000,recovered_from_log
implicit_als,5,"{""alpha"": 1.0, ""rank"": 64, ""reg"": 0.01}",0.106170,0.137120,0.946300,0.023600,20000,48.000000,5.000000,recovered_from_log
implicit_als,6,"{""alpha"": 5.0, ""rank"": 64, ""reg"": 0.01}",0.106360,0.141090,0.962300,0.031800,20000,50.000000,5.000000,recovered_from_log
implicit_als,7,"{""alpha"": 20.0, ""rank"": 64, ""reg"": 0.01}",0.097460,0.131990,0.973000,0.046700,20000,58.000000,5.000000,recovered_from_log
implicit_als,8,"{""alpha"": 50.0, ""rank"": 64, ""reg"": 0.01}",0.085870,0.118690,0.977100,0.060500,20000,49.000000,5.000000,recovered_from_log
implicit_als,9,"{""alpha"": 5.0, ""rank"": 64, ""reg"": 0.1}",0.107700,0.141960,0.968800,0.034400,20000,50.000000,5.000000,recovered_from_log
implicit_als,10,"{""alpha"": 5.0, ""rank"": 64, ""reg"": 1.0}",0.087410,0.114040,0.984600,0.037300,20000,59.000000,5.000000,recovered_from_log
implicit_als,11,"{""alpha"": 1.0, ""rank"": 64, ""reg"": 0.1}",0.110290,0.143470,0.964400,0.028100,20000,53.000000,5.000000,recovered_from_log
implicit_als,12,"{""alpha"": 20.0, ""rank"": 64, ""reg"": 0.1}",0.098330,0.132470,0.975800,0.048800,20000,58.000000,6.000000,recovered_from_log
implicit_als,13,"{""alpha"": 50.0, ""rank"": 64, ""reg"": 0.1}",0.087350,0.120110,0.979000,0.063200,20000,57.000000,5.000000,recovered_from_log
implicit_als,14,"{""alpha"": 0.5, ""rank"": 64, ""reg"": 0.1}",0.109930,0.143280,0.965200,0.027500,20000,58.000000,5.000000,recovered_from_log
implicit_als,15,"{""alpha"": 1.0, ""rank"": 32, ""reg"": 0.1}",0.102840,0.133340,0.970000,0.022700,20000,18.000000,5.000000,recovered_from_log
implicit_als,16,"{""alpha"": 1.0, ""rank"": 128, ""reg"": 0.1}",0.114540,0.148410,0.957200,0.033900,20000,183.000000,5.000000,recovered_from_log
implicit_als,17,"{""alpha"": 1.0, ""rank"": 256, ""reg"": 0.1}",0.115923,0.147219,0.949357,0.041625,20000,1432.000000,5.100000,run
implicit_als,18,"{""alpha"": 1.0, ""rank"": 256, ""reg"": 0.0333333}",0.098416,0.122116,0.916889,0.036879,20000,1299.700000,5.300000,run
implicit_als,19,"{""alpha"": 1.0, ""rank"": 256, ""reg"": 0.3}",0.098551,0.129205,0.980587,0.044204,20000,1253.400000,5.700000,run
